Name,File Name,Size,File
accessories calculator,accessories-calculator.svg,16,https://wentin.github.io/elementary-icons/svg/16/accessories-calculator.svg
accessories camera,accessories-camera.svg,16,https://wentin.github.io/elementary-icons/svg/16/accessories-camera.svg
accessories text editor,accessories-text-editor.svg,16,https://wentin.github.io/elementary-icons/svg/16/accessories-text-editor.svg
address book new,address-book-new.svg,16,https://wentin.github.io/elementary-icons/svg/16/address-book-new.svg
align horizontal baseline,align-horizontal-baseline.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-horizontal-baseline.svg
align horizontal center,align-horizontal-center.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-horizontal-center.svg
align horizontal left to anchor,align-horizontal-left-to-anchor.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-horizontal-left-to-anchor.svg
align horizontal left,align-horizontal-left.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-horizontal-left.svg
align horizontal right to anchor,align-horizontal-right-to-anchor.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-horizontal-right-to-anchor.svg
align horizontal right,align-horizontal-right.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-horizontal-right.svg
align vertical baseline,align-vertical-baseline.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-vertical-baseline.svg
align vertical bottom to anchor,align-vertical-bottom-to-anchor.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-vertical-bottom-to-anchor.svg
align vertical bottom,align-vertical-bottom.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-vertical-bottom.svg
align vertical center,align-vertical-center.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-vertical-center.svg
align vertical top to anchor,align-vertical-top-to-anchor.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-vertical-top-to-anchor.svg
align vertical top,align-vertical-top.svg,16,https://wentin.github.io/elementary-icons/svg/16/align-vertical-top.svg
application atom xml,application-atom+xml.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-atom+xml.svg
application certificate,application-certificate.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-certificate.svg
application default icon,application-default-icon.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-default-icon.svg
application epub zip,application-epub+zip.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-epub+zip.svg
application illustrator,application-illustrator.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-illustrator.svg
application javascript,application-javascript.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-javascript.svg
application json,application-json.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-json.svg
application msword,application-msword.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-msword.svg
application octet stream,application-octet-stream.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-octet-stream.svg
application pdf,application-pdf.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-pdf.svg
application pgp,application-pgp.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-pgp.svg
application rss xml,application-rss+xml.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-rss+xml.svg
application rtf rtl,application-rtf-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-rtf-rtl.svg
application rtf,application-rtf.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-rtf.svg
application sql,application-sql.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-sql.svg
application vnd cups pdf banner,application-vnd.cups-pdf-banner.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.cups-pdf-banner.svg
application vnd debian binary package,application-vnd.debian.binary-package.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.debian.binary-package.svg
application vnd flatpak ref,application-vnd.flatpak.ref.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.flatpak.ref.svg
application vnd ms access,application-vnd.ms-access.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.ms-access.svg
application vnd ms excel,application-vnd.ms-excel.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.ms-excel.svg
application vnd ms powerpoint presentation macroEnabled 12,application-vnd.ms-powerpoint.presentation.macroEnabled.12.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.ms-powerpoint.presentation.macroEnabled.12.svg
application vnd ms powerpoint,application-vnd.ms-powerpoint.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.ms-powerpoint.svg
application vnd oasis opendocument chart,application-vnd.oasis.opendocument.chart.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.oasis.opendocument.chart.svg
application vnd oasis opendocument database,application-vnd.oasis.opendocument.database.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.oasis.opendocument.database.svg
application vnd oasis opendocument drawing,application-vnd.oasis.opendocument.drawing.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.oasis.opendocument.drawing.svg
application vnd oasis opendocument graphics,application-vnd.oasis.opendocument.graphics.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.oasis.opendocument.graphics.svg
application vnd oasis opendocument spreadsheet,application-vnd.oasis.opendocument.spreadsheet.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.oasis.opendocument.spreadsheet.svg
application vnd oasis opendocument text rtl,application-vnd.oasis.opendocument.text-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.oasis.opendocument.text-rtl.svg
application vnd oasis opendocument text web,application-vnd.oasis.opendocument.text-web.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.oasis.opendocument.text-web.svg
application vnd oasis opendocument text,application-vnd.oasis.opendocument.text.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.oasis.opendocument.text.svg
application vnd openxmlformats officedocument presentationml presentation,application-vnd.openxmlformats-officedocument.presentationml.presentation.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.openxmlformats-officedocument.presentationml.presentation.svg
application vnd openxmlformats officedocument presentationml slideshow,application-vnd.openxmlformats-officedocument.presentationml.slideshow.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.openxmlformats-officedocument.presentationml.slideshow.svg
application vnd openxmlformats officedocument spreadsheetml sheet,application-vnd.openxmlformats-officedocument.spreadsheetml.sheet.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.openxmlformats-officedocument.spreadsheetml.sheet.svg
application vnd openxmlformats officedocument wordprocessingml document,application-vnd.openxmlformats-officedocument.wordprocessingml.document.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.openxmlformats-officedocument.wordprocessingml.document.svg
application vnd sun xml calc,application-vnd.sun.xml.calc.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.sun.xml.calc.svg
application vnd sun xml draw,application-vnd.sun.xml.draw.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.sun.xml.draw.svg
application vnd sun xml writer rtl,application-vnd.sun.xml.writer-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.sun.xml.writer-rtl.svg
application vnd sun xml writer,application-vnd.sun.xml.writer.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.sun.xml.writer.svg
application vnd wordperfect rtl,application-vnd.wordperfect-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.wordperfect-rtl.svg
application vnd wordperfect,application-vnd.wordperfect.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.wordperfect.svg
application x bittorrent,application-x-bittorrent.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-bittorrent.svg
application x blender,application-x-blender.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-blender.svg
application x cd image,application-x-cd-image.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-cd-image.svg
application x class file,application-x-class-file.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-class-file.svg
application x desktop,application-x-desktop.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-desktop.svg
application x executable,application-x-executable.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-executable.svg
application x fictionbook xml,application-x-fictionbook+xml.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-fictionbook+xml.svg
application x firmware,application-x-firmware.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-firmware.svg
